id,titulo,mpa,genero,duracion,fecha_estreno,productora,ingresos,presupuesto,voto_promedio,cantidad_votos,popularidad,director,genero_director
tt0120657,The 13th Warrior,R,Adventure,102,1999-08-13,Touchstone Pictures,61698899,120000000,6.669,1707,25.98,John McTiernan,Masculino
tt0140352,The Insider,R,Drama,158,1999-10-28,Touchstone Pictures,60300000,90000000,7.5,1691,18.662,Michael Mann,Masculino
tt0160916,The Story of Us,R,Comedy,96,1999-10-14,Universal Pictures,58900031,50000000,6.05,298,10.851,Rob Reiner,Masculino
tt0139414,Lake Placid,R,Horror,82,1999-07-15,Rocking Chair Productions,56870414,27000000,5.894,1053,25.232,Steve Miner,Masculino
tt0130121,Mickey Blue Eyes,PG-13,Comedy,102,1999-08-16,Castle Rock Entertainment,54264342,75000000,5.7,524,18.915,Kelly Makin,Masculino
tt0147800,10 Things I Hate About You,PG-13,Comedy,97,1999-03-30,Mad Chance,53478166,16000000,7.582,7610,43.11,Gil Junger,Masculino
tt0175880,Magnolia,R,Drama,189,1999-12-10,Ghoulardi Film Company,48500000,37000000,7.734,3342,23.629,Paul Thomas Anderson,Masculino
tt0172493,"Girl, Interrupted",R,Drama,127,1999-12-21,Red Wagon Entertainment,48350205,40000000,7.549,3542,30.651,James Mangold,Masculino
tt0125664,Man on the Moon,R,Comedy,118,1999-12-22,Mutual Film Company,47434430,82000000,7.268,1656,16.672,Miloš Forman,Masculino
tt0126916,For Love of the Game,PG-13,Drama,138,1999-09-17,Universal Pictures,46112640,50000000,6.481,391,16.257,Sam Raimi,Masculino
tt0185371,House on Haunted Hill,R,Horror,93,1999-10-29,Dark Castle Entertainment,40846082,37000000,5.587,818,21.579,William Malone,Masculino
tt0137363,Arlington Road,R,Crime,117,1999-03-19,Lakeshore Entertainment,41100000,31000000,6.997,996,16.726,Mark Pellington,Masculino
tt0124298,Blast from the Past,PG-13,Drama,112,1999-02-12,Midnight Sun Pictures,40263020,35000000,6.749,1010,32.392,Hugh Wilson,Masculino
tt0120596,The Bachelor,PG-13,Comedy,101,1999-11-05,George Street Pictures,36911617,51000000,5.168,291,10.354,Gary Sinyor,Masculino
tt0120764,My Favorite Martian,PG,Comedy,94,1999-02-11,Walt Disney Pictures,36850101,65000000,5.6,283,17.153,Donald Petrie,Masculino
tt0118665,Baby Geniuses,PG,Science Fiction,97,1999-03-12,Crystal Sky Worldwide,36450736,12000000,3.993,344,19.97,Bob Clark,Masculino
tt0131369,Edtv,PG-13,Comedy,122,1999-03-26,Imagine Entertainment,35242897,80000000,5.957,588,19.24,Ron Howard,Masculino
tt0132477,October Sky,PG,Drama,108,1999-02-19,Universal Pictures,34698685,25000000,7.634,1153,15.914,Joe Johnston,Masculino
tt0168501,The Best Man,R,Drama,120,1999-10-22,Universal Pictures,34573780,9000000,6.7,122,8.329,Malcolm D. Lee,Masculino
tt0128278,Instinct,R,Drama,124,1999-06-04,Spyglass Entertainment,34105207,80000000,6.415,564,13.906,Jon Turteltaub,Masculino
